Fecha,AMZN_Close,AMZN_Volume,AMD_Close,AMD_Volume,AAPL_Close,AAPL_Volume,ASML_Close,ASML_Volume,BRKb_Close,BRKb_Volume,KO_Close,KO_Volume,JPM_Close,JPM_Volume,MA_Close,MA_Volume,META_Close,META_Volume,MSFT_Close,MSFT_Volume,NESN_Close,NESN_Volume,NVDA_Close,NVDA_Volume,PG_Close,PG_Volume,PM_Close,PM_Volume,TSM_Close,TSM_Volume,NNND_Close,NNND_Volume,TSLA_Close,TSLA_Volume,TM_Close,TM_Volume,V_Close,V_Volume,WMT_Close,WMT_Volume
2024-10-28,188.39,27930000.0,159.92,36010000.0,233.4,36090000.0,708.65,1180000.0,458.49,4099999.9999999995,,,225.5,6840000.0,508.21,2190000.0,578.16,10930000.0,426.59,14880000.0,84.4,2620000.0,140.52,173590000.0,169.3,5750000.0,130.5,5530000.0,194.68,20140000.0,417.2,15550000.0,262.51,107650000.0,176.63,457280.0,284.19,4310000.0,82.75,7990000.0
2024-10-29,190.83,35690000.0,166.25,71900000.0,233.67,35420000.0,715.14,1450000.0,454.62,3990000.0,,,222.9,6580000.0,506.28,2069999.9999999998,593.28,13020000.0,431.95,17640000.0,83.06,4090000.0,141.25,157590000.0,167.17,5680000.0,131.57,5500000.0,196.94,13780000.0,418.4,13800000.0,259.52,80520000.0,176.03,357260.0,281.88,7530000.0,81.7,9680000.0
2024-10-30,192.73,37710000.0,148.6,87700000.0,230.1,47070000.0,683.83,3090000.0,454.96,2690000.0,,,224.41,7110000.0,513.69,3120000.0,591.8,26860000.0,432.53,29750000.0,82.42,3680000.0,139.34,179420000.0,166.16,5520000.0,132.11,4390000.0,194.48,10010000.0,411.0,17900000.0,257.55,53990000.0,175.21,222770.0,290.16,9610000.0,81.39,9270000.0
2024-10-31,186.4,75150000.0,144.07,44390000.0,225.91,64370000.00000001,672.55,2400000.0,450.92,3660000.0,,,221.92,7830000.0,499.59,5520000.0,567.58,26840000.0,406.35,53970000.0,81.58,4620000.0,132.76,270040000.0,165.18,6060000.0,132.7,5670000.0,190.54,13060000.0,404.6,22750000.0,249.85,66580000.0,173.02,235010.0,289.85,7950000.0,81.95,15540000.0
2024-11-01,197.93,99690000.0,141.86,39030000.0,222.91,65280000.0,674.73,1800000.0,452.14,2970000.0,,,222.94,6920000.0,508.08,3750000.0,567.16,15300000.0,410.37,24230000.0,82.72,3870000.0,135.4,207130000.0,165.1,5460000.0,130.65,5830000.0,192.95,12690000.0,419.2,21090000.0,248.98,57550000.0,172.83,234230.0,290.74,5470000.0,82.19,12180000.0
2024-11-04,195.78,38490000.0,140.71,29120000.0,222.01,44940000.0,671.16,1230000.0,442.29,5730000.0,,,219.78,8230000.0,505.58,2170000.0,560.68,12060000.0,408.46,19670000.0,81.78,3470000.0,136.05,187530000.0,165.08,5130000.0,130.33,3920000.0,191.56,10920000.0,419.0,11710000.0,242.84,68800000.0,172.7,253410.0,291.85,4280000.0,82.45,11730000.0
2024-11-05,199.5,30560000.0,141.66,27070000.0,223.45,28110000.0,676.46,1280000.0,445.06,3150000.0,,,221.49,5600000.0,505.56,2130000.0,572.43,9780000.0,411.46,17630000.0,80.82,4720000.0,139.91,160540000.0,165.76,4400000.0,132.19,3330000.0,195.76,10340000.0,427.8,15270000.0,251.44,69280000.0,174.73,353400.0,293.29,3750000.0,83.68,10610000.0
2024-11-06,207.09,72290000.0,145.1,32909999.999999996,222.72,54560000.0,661.43,3210000.0,468.9,6910000.0,,,247.06,23990000.0,521.13,3670000.0,572.05,18310000.0,420.18,26680000.0,79.36,6260000.0,145.61,242040000.0,161.05,11470000.0,125.31,10220000.0,193.22,19830000.0,419.8,20760000.0,288.53,165230000.0,175.15,633030.0,307.4,10320000.0,83.44,19970000.0
2024-11-07,210.05,52880000.0,149.82,30330000.0,227.48,42140000.0,677.21,1760000.0,460.13,4240000.0,,,236.38,16450000.0,517.88,2380000.0,591.7,14650000.0,425.43,19900000.0,79.46,4900000.0,148.88,207320000.0,163.41,9060000.0,123.78,10550000.0,201.19,14870000.0,428.4,19920000.0,296.91,117310000.0,178.45,638020.0,305.8,6240000.0,83.85,12670000.0
2024-11-08,208.18,36080000.0,147.95,27560000.0,226.96,38330000.0,669.47,1730000.0,463.41,3540000.0,,,236.98,9500000.0,524.76,2220000.0,589.34,9420000.0,422.54,16890000.0,78.98,3910000.0,147.63,175670000.0,167.71,7510000.0,126.24,6370000.0,201.2,13110000.0,420.8,19390000.0,321.22,204780000.0,172.03,504150.0,307.87,6240000.0,84.83,14400000.0
